Aldea	Jugador	Alianza	Aldeas	Población	'+/-(1d)	'+/-(7d)	Tiempo de Juego	Tiempo de Viaje
( -85 | 27 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=69489)	Dark Phoenix	Ismael Tonatiuh (https://www.gettertools.com/ts20.hispano.travian.com/Player/6519-Ismael-Tonatiuh)	AP (https://www.gettertools.com/ts20.hispano.travian.com/Alliance/155-AP)	1	91	(+0)	( +0 )	14 Días	5m 38s
( -85 | 34 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=66682)	01 Bloody	droman (https://www.gettertools.com/ts20.hispano.travian.com/Player/7000-droman)		1	53	(+0)	( +0 )	13 Días	7m 30s
( -81 | 34 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=66686)	Aldea de ADRIANCEDEÑO	ADRIANCEDEÑO (https://www.gettertools.com/ts20.hispano.travian.com/Player/6329-ADRIANCEDE%C3%91O)		1	9	(+0)	( +0 )	15 Días	10m 36s
( -91 | 30 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=68280)	Aldea de sensei87	sensei87 (https://www.gettertools.com/ts20.hispano.travian.com/Player/7692-sensei87)		1	12	(+0)	( +0 )	11 Días	11m 15s
( -79 | 32 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=67490)	Aldea de doble ss	doble ss (https://www.gettertools.com/ts20.hispano.travian.com/Player/5726-doble-ss)		1	9	(+0)	( +0 )	16 Días	11m 52s
( -86 | 23 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=71092)	cancun	ricardoat8 (https://www.gettertools.com/ts20.hispano.travian.com/Player/6508-ricardoat8)		1	152	(+0)	( +0 )	14 Días	13m 15s
( -78 | 31 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=67892)	Aldea de fenryr	fenryr (https://www.gettertools.com/ts20.hispano.travian.com/Player/5459-fenryr)		1	9	(+0)	( +0 )	16 Días	13m 15s
( -83 | 23 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=71095)	Aldea de luis_fer	luis_fer (https://www.gettertools.com/ts20.hispano.travian.com/Player/5999-luis_fer)		1	12	(+0)	( +0 )	15 Días	13m 39s
( -84 | 38 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=65079)	Betta plakat	charls1609 (https://www.gettertools.com/ts20.hispano.travian.com/Player/7001-charls1609)		1	22	(+0)	( +0 )	13 Días	15m 07s
( -93 | 28 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=69080)	Aldea de merz	merz (https://www.gettertools.com/ts20.hispano.travian.com/Player/7845-merz)		1	13	(+0)	( +0 )	10 Días	15m 28s
( -92 | 35 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=66274)	Aldea de indians	indians (https://www.gettertools.com/ts20.hispano.travian.com/Player/7956-indians)		1	11	(+0)	( +0 )	10 Días	16m 08s
( -81 | 22 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=71498)	S	Reksss (https://www.gettertools.com/ts20.hispano.travian.com/Player/5632-Reksss)		1	164	(+0)	( +0 )	16 Días	16m 46s
( -86 | 39 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=64676)	El Regreso	vuelvelaleyenda (https://www.gettertools.com/ts20.hispano.travian.com/Player/7278-vuelvelaleyenda)		1	23	(+0)	( +0 )	12 Días	16m 59s
( -76 | 29 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=68696)	Lucresia	beto41 (https://www.gettertools.com/ts20.hispano.travian.com/Player/5024-beto41)		1	57	(+0)	( +0 )	17 Días	16m 59s
( -79 | 37 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=65485)	Uldum	noktar (https://www.gettertools.com/ts20.hispano.travian.com/Player/6224-noktar)		1	28	(+0)	( +0 )	15 Días	17m 17s
( -80 | 38 ) (http://ts20.hispano.travian.com/build.php?id=39&tt=2&z=65083)	X. X. X. X	heroes (https://www.gettertools.com/ts20.hispano.travian.com/Player/6490-heroes)		1	21	(+0)	( +0 )	14 Días	17m 41s
